RowNumber,ProductNumber,CoverDate,Title,Url,Version,PublicationDate
159,"R42948","1/24/2013","U.S.-India Security Relations: Strategic Issues","https://crsreports.congress.gov/product/pdf/download/R/R42948/R42948.pdf/","4","02/04/2013"
160,"R44533","4/7/2021","Qatar: Governance, Security, and U.S. Policy","https://crsreports.congress.gov/product/pdf/download/R/R44533/R44533.pdf/","66","06/20/2016"
161,"R44329","1/5/2016","Using Data to Improve Defense Acquisitions: Background, Analysis, and Questions for Congress","https://crsreports.congress.gov/product/pdf/download/R/R44329/R44329.pdf/","4","01/05/2016"
162,"95-519","8/18/2015","Medal of Honor: History and Issues","https://crsreports.congress.gov/product/pdf/download/RL/95-519/95-519.pdf/","15","12/15/1998"
163,"R44876","6/19/2017","India-U.S. Relations: Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R44876/R44876.pdf/","6","06/22/2017"
164,"R44017","1/11/2021","Iran's Foreign and Defense Policies","https://crsreports.congress.gov/product/pdf/download/R/R44017/R44017.pdf/","80","05/05/2015"
165,"R44010","7/2/2018","Defense Acquisitions: How and Where DOD Spends Its Contracting Dollars","https://crsreports.congress.gov/product/pdf/download/R/R44010/R44010.pdf/","12","04/29/2015"
166,"RS21852","4/15/2021","The United Arab Emirates (UAE): Issues for U.S. Policy","https://crsreports.congress.gov/product/pdf/download/RS/RS21852/RS21852.pdf/","131","11/29/2004"
167,"R46319","5/14/2020","Novel Coronavirus 2019 (COVID-19): Q&A on Global Implications and Responses","https://crsreports.congress.gov/product/pdf/download/R/R46319/R46319.pdf/","6","04/21/2020"
168,"R45652","3/28/2019","Assessing NATO's Value","https://crsreports.congress.gov/product/pdf/download/R/R45652/R45652.pdf/","7","03/27/2019"
169,"R43901","1/6/2016","State, Foreign Operations, and Related Programs: FY2016 Budget and Appropriations","https://crsreports.congress.gov/product/pdf/download/R/R43901/R43901.pdf/","24","02/09/2015"
170,"RL31384","4/19/2012","V-22 Osprey Tilt-Rotor Aircraft Program","https://crsreports.congress.gov/product/pdf/download/RL/RL31384/RL31384.pdf/","29","01/07/2005"
171,"RL34248","8/1/2016","Pakistan's Nuclear Weapons","https://crsreports.congress.gov/product/pdf/download/RL/RL34248/RL34248.pdf/","63","11/13/2007"
